number_of_k,distance,policy,weight,acc_fold0,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_fold6,acc_fold7,acc_fold8,acc_fold9
5,euclidean,inverse_distance,relieff,0.944,0.9259259259259259,0.946949602122016,0.9283819628647215,0.9338624338624338,0.9232804232804233,0.9338624338624338,0.9338624338624338,0.9310344827586207,0.9547872340425532
7,euclidean,inverse_distance,relieff,0.9386666666666666,0.9285714285714286,0.9442970822281167,0.9310344827586207,0.9312169312169312,0.9259259259259259,0.9338624338624338,0.9365079365079365,0.9363395225464191,0.9547872340425532
1,euclidean,sheppard,relieff,0.9226666666666666,0.9047619047619048,0.9098143236074271,0.9204244031830239,0.91005291005291,0.9047619047619048,0.9021164021164021,0.9126984126984127,0.9310344827586207,0.9414893617021277
3,euclidean,sheppard,relieff,0.9466666666666667,0.9259259259259259,0.9442970822281167,0.9283819628647215,0.9338624338624338,0.9285714285714286,0.9259259259259259,0.9312169312169312,0.9363395225464191,0.949468085106383
5,euclidean,sheppard,relieff,0.944,0.9259259259259259,0.9442970822281167,0.9310344827586207,0.9365079365079365,0.9232804232804233,0.9259259259259259,0.9391534391534392,0.9416445623342176,0.9521276595744681
7,euclidean,sheppard,relieff,0.9386666666666666,0.9285714285714286,0.9442970822281167,0.9310344827586207,0.9365079365079365,0.9259259259259259,0.9285714285714286,0.9365079365079365,0.9363395225464191,0.949468085106383
1,manhattan,majority,relieff,0.928,0.9153439153439153,0.9257294429708223,0.9310344827586207,0.9206349206349206,0.8968253968253969,0.9047619047619048,0.917989417989418,0.9257294429708223,0.949468085106383
3,manhattan,majority,relieff,0.9493333333333334,0.9365079365079365,0.9496021220159151,0.9257294429708223,0.9338624338624338,0.9232804232804233,0.9338624338624338,0.9312169312169312,0.9389920424403183,0.9521276595744681
5,manhattan,majority,relieff,0.9466666666666667,0.9312169312169312,0.9442970822281167,0.9310344827586207,0.9365079365079365,0.9285714285714286,0.9259259259259259,0.9365079365079365,0.9442970822281167,0.949468085106383
7,manhattan,majority,relieff,0.9413333333333334,0.9365079365079365,0.9416445623342176,0.9310344827586207,0.9365079365079365,0.9312169312169312,0.9312169312169312,0.9365079365079365,0.9442970822281167,0.949468085106383
1,manhattan,inverse_distance,relieff,0.928,0.9153439153439153,0.9257294429708223,0.9310344827586207,0.9206349206349206,0.8968253968253969,0.9047619047619048,0.917989417989418,0.9257294429708223,0.949468085106383
3,manhattan,inverse_distance,relieff,0.9466666666666667,0.9338624338624338,0.9442970822281167,0.9283819628647215,0.9285714285714286,0.917989417989418,0.9365079365079365,0.9285714285714286,0.9363395225464191,0.9547872340425532
5,manhattan,inverse_distance,relieff,0.9466666666666667,0.9365079365079365,0.946949602122016,0.9283819628647215,0.9391534391534392,0.9259259259259259,0.9391534391534392,0.9365079365079365,0.9416445623342176,0.9547872340425532
7,manhattan,inverse_distance,relieff,0.944,0.9338624338624338,0.9363395225464191,0.9283819628647215,0.9365079365079365,0.9259259259259259,0.9338624338624338,0.9365079365079365,0.9442970822281167,0.9547872340425532
1,manhattan,sheppard,relieff,0.928,0.9153439153439153,0.9257294429708223,0.9310344827586207,0.9206349206349206,0.8968253968253969,0.9047619047619048,0.917989417989418,0.9257294429708223,0.949468085106383
3,manhattan,sheppard,relieff,0.9493333333333334,0.9365079365079365,0.946949602122016,0.9257294429708223,0.9312169312169312,0.9232804232804233,0.9365079365079365,0.9338624338624338,0.9363395225464191,0.9547872340425532
5,manhattan,sheppard,relieff,0.9466666666666667,0.9312169312169312,0.9442970822281167,0.9310344827586207,0.9365079365079365,0.9285714285714286,0.9285714285714286,0.9391534391534392,0.946949602122016,0.9521276595744681
7,manhattan,sheppard,relieff,0.9413333333333334,0.9365079365079365,0.9389920424403183,0.9310344827586207,0.9365079365079365,0.9312169312169312,0.9312169312169312,0.9391534391534392,0.946949602122016,0.949468085106383
1,chebyshev,majority,relieff,0.92,0.8994708994708994,0.9151193633952255,0.9098143236074271,0.9047619047619048,0.9021164021164021,0.8941798941798942,0.9074074074074074,0.9257294429708223,0.9361702127659575
3,chebyshev,majority,relieff,0.9386666666666666,0.9285714285714286,0.9389920424403183,0.9230769230769231,0.9232804232804233,0.9285714285714286,0.9206349206349206,0.9259259259259259,0.9336870026525199,0.9468085106382979
5,chebyshev,majority,relieff,0.9386666666666666,0.9312169312169312,0.946949602122016,0.9310344827586207,0.9365079365079365,0.9312169312169312,0.9259259259259259,0.9259259259259259,0.9283819628647215,0.949468085106383
7,chebyshev,majority,relieff,0.9386666666666666,0.9285714285714286,0.946949602122016,0.9310344827586207,0.9365079365079365,0.9259259259259259,0.9232804232804233,0.9338624338624338,0.9336870026525199,0.9468085106382979
1,chebyshev,inverse_distance,relieff,0.92,0.8994708994708994,0.9151193633952255,0.9098143236074271,0.9047619047619048,0.9021164021164021,0.8941798941798942,0.9074074074074074,0.9257294429708223,0.9361702127659575
3,chebyshev,inverse_distance,relieff,0.936,0.9259259259259259,0.9389920424403183,0.9204244031830239,0.9206349206349206,0.9232804232804233,0.9206349206349206,0.9232804232804233,0.9336870026525199,0.9547872340425532
5,chebyshev,inverse_distance,relieff,0.9386666666666666,0.9285714285714286,0.9416445623342176,0.9257294429708223,0.9312169312169312,0.9312169312169312,0.9312169312169312,0.9206349206349206,0.9310344827586207,0.9547872340425532
7,chebyshev,inverse_distance,relieff,0.9386666666666666,0.9259259259259259,0.946949602122016,0.9283819628647215,0.9338624338624338,0.9259259259259259,0.9285714285714286,0.9259259259259259,0.9336870026525199,0.949468085106383
1,chebyshev,sheppard,relieff,0.92,0.8994708994708994,0.9151193633952255,0.9098143236074271,0.9047619047619048,0.9021164021164021,0.8941798941798942,0.9074074074074074,0.9257294429708223,0.9361702127659575
3,chebyshev,sheppard,relieff,0.9386666666666666,0.9285714285714286,0.9389920424403183,0.9230769230769231,0.9232804232804233,0.9285714285714286,0.9232804232804233,0.9259259259259259,0.9336870026525199,0.949468085106383
5,chebyshev,sheppard,relieff,0.9386666666666666,0.9312169312169312,0.946949602122016,0.9310344827586207,0.9338624338624338,0.9312169312169312,0.9285714285714286,0.9232804232804233,0.9310344827586207,0.949468085106383
7,chebyshev,sheppard,relieff,0.9386666666666666,0.9285714285714286,0.946949602122016,0.9310344827586207,0.9365079365079365,0.9259259259259259,0.9232804232804233,0.9338624338624338,0.9336870026525199,0.9468085106382979
